Date,Market Return,Portfolio Return
2018-07-02,1.0027655887016482,1.0040252
2018-07-03,0.9986725174232087,0.9968794000000001
2018-07-05,1.0070061580441756,1.0052183000000001
2018-07-06,1.0154135476971866,1.0135355000000001
2018-07-09,1.0247059257347249,1.0254982000000001
2018-07-10,1.0281352557247687,1.0270142
2018-07-11,1.0210922231645712,1.021197
2018-07-12,1.0299052324938236,1.0311941
2018-07-13,1.030900844426417,1.0319041999999998
2018-07-16,1.0300896050739334,1.0327093999999999
2018-07-17,1.0343301744164608,1.0354866999999999
2018-07-18,1.0363582727976695,1.0382914999999997
2018-07-19,1.0325233231313837,1.0343301999999999
2018-07-20,1.0315277111987904,1.0320421999999998
2018-07-23,1.0333714369998892,1.0335457
2018-07-24,1.038275747630812,1.0361171
2018-07-25,1.0477156237324383,1.0454458
2018-07-26,1.0446181643865924,1.0369802000000001
2018-07-27,1.0378701279545703,1.0299202
2018-07-30,1.03208082893912,1.0206068
2018-07-31,1.036985139570043,1.027117
2018-08-01,1.0358789040893837,1.0248498
2018-08-02,1.0411150853645044,1.0296858
2018-08-03,1.0459087724473615,1.0339886999999999
2018-08-06,1.0497437221136472,1.0394496999999998
2018-08-07,1.0529149304915373,1.0437278999999997
2018-08-08,1.0524724362992735,1.0438638999999998
2018-08-09,1.0511449537224822,1.0443451999999998
2018-08-10,1.0439912976142187,1.0351802999999997
2018-08-13,1.0400457243998673,1.0307771999999997
2018-08-14,1.0467200117998452,1.0387379999999997
2018-08-15,1.03897636343523,1.0293938999999996
2018-08-16,1.0476050001843729,1.0359919999999998
2018-08-17,1.0509974556583945,1.0380896
2018-08-20,1.053541797263911,1.0416197999999999
2018-08-21,1.0555330211290979,1.0471
2018-08-22,1.055348648548988,1.0456789
2018-08-23,1.053763044360043,1.0435953999999998
2018-08-24,1.060142335631845,1.0511118
2018-08-27,1.0683284781887241,1.0609184999999999
2018-08-28,1.0689184704450756,1.0615335
2018-08-29,1.07478151849257,1.0681894999999997
2018-08-30,1.0702459530218666,1.0618826999999997
2018-08-31,1.0701722039898227,1.0621439999999998
2018-09-04,1.0688815959290534,1.0610492999999999
2018-09-05,1.0658947601312732,1.0542269
2018-09-06,1.062723551753383,1.0509545
2018-09-07,1.0603635827279765,1.0491145
2018-09-10,1.0623179320771412,1.0523778
2018-09-11,1.066079132711383,1.0581701
2018-09-12,1.0662635052914928,1.057131
2018-09-13,1.072384674951141,1.0618701
2018-09-14,1.0726796710793167,1.0620706
2018-09-17,1.0669272465798882,1.0539511
2018-09-18,1.0726796710793167,1.0622449
2018-09-19,1.073970279140086,1.0642524999999998
2018-09-20,1.0824514178251408,1.0721888
2018-09-21,1.0767727423577562,1.0652355999999998
2018-09-24,1.0733065378516904,1.0590032
2018-09-25,1.0719421807588772,1.0588897
2018-09-26,1.068770972380987,1.0569708
2018-09-27,1.0717578081787673,1.0601196
2018-09-28,1.0716103101146794,1.0591139999999999
2018-10-01,1.0755190088130089,1.0615173
2018-10-02,1.075150263652789,1.0575180000000002
2018-10-03,1.0759246284892505,1.0593973
2018-10-04,1.067406615288174,1.0488454
2018-10-05,1.0615804417567014,1.0407928000000002
2018-10-08,1.0612485711125037,1.0402974000000003
2018-10-09,1.0598842140196905,1.0361041000000002
2018-10-10,1.0257384121833397,0.9986899000000002
2018-10-11,1.0039086986983292,0.9799859000000002
2018-10-12,1.0177735167225925,0.9952593000000002
2018-10-15,1.0121317157712302,0.9906501000000002
2018-10-16,1.0335926840960208,1.0120606000000003
2018-10-17,1.0339614292562405,1.0089325000000005
2018-10-18,1.0194697444596037,0.9909580000000004
2018-10-19,1.0184372580109882,0.9879656000000004
2018-10-22,1.0142704377005047,0.9868073000000004
2018-10-23,1.0086655112651641,0.9816770000000005
2018-10-24,0.9779859139348792,0.9484363000000006
2018-10-25,0.9961281758176918,0.9709012000000006
2018-10-26,0.978244035547033,0.9504471000000007
2018-10-29,0.9727497326597583,0.9414670000000006
2018-10-30,0.9875364135845711,0.9572549000000007
2018-10-31,0.9981562741989005,0.9709355000000007
2018-11-01,1.008554887717098,0.9838717000000007
2018-11-02,1.00224934547734,0.9790397000000007
2018-11-05,1.0080755190088124,0.9821236000000007
2018-11-06,1.0144916847966365,0.9887967000000005
2018-11-07,1.0358420295733615,1.0101860000000007
2018-11-08,1.0341089273203283,1.0093327000000007
2018-11-09,1.0244846786385922,0.9959267000000006
2018-11-12,1.0047936870828564,0.9744312000000006
2018-11-13,1.0032080828939114,0.9758525000000007
2018-11-14,0.9960913013016698,0.9692626000000006
2018-11-15,1.0069324090121312,0.9790055000000008
2018-11-16,1.009181754489472,0.9778611000000007
2018-11-19,0.9922194771193623,0.9565381000000007
2018-11-20,0.9741509642685935,0.9369396000000008
2018-11-21,0.9774696707105713,0.9437342000000007
2018-11-23,0.9710535049227472,0.9379167000000007
