Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,Daily Total
2018-06-29,5545.799999999999,11447.399999999998,8034.299999999997,0.0,27845.099999999995,18203.0,0.0,0.0,0.0,9223.1,19701.3,100000.0
2018-07-02,5517.149405889443,11533.018314129775,7904.236970255328,0.0,27891.74170854271,18378.659081088863,0.0,0.0,0.0,9251.839285714286,19730.14260225089,100206.79
2018-07-03,5507.599207852591,11382.376361431167,7969.79719663069,0.0,27814.005527638186,18161.051562725042,0.0,0.0,0.0,9280.578571428572,19629.19349437277,99744.6
2018-07-05,5555.350198036851,11565.39129290479,7952.8784285338215,0.0,27942.270226130648,18415.363963704447,0.0,0.0,0.0,9375.639285714286,19730.14260225089,100537.04
2018-07-06,5581.135732736351,11748.22110369921,8002.577309818371,0.0,28043.32726130653,18627.727927408898,0.0,0.0,0.0,9508.282142857142,19885.171589349437,101396.44
2018-07-09,5633.661821939038,11817.641358399027,8122.066109502498,0.0,28556.386055276376,18771.92568054155,0.0,0.0,0.0,9571.2875,20121.320395278613,102594.29
2018-07-10,5678.547752712243,11810.467932080046,8182.339220847588,0.0,28649.669472361802,18821.73944980556,0.0,0.0,0.0,9612.185714285713,20162.78163601427,102917.73
2018-07-11,5584.000792147407,11794.501273499089,8005.749578836532,0.0,28191.02600502512,18724.73368860723,0.0,0.0,0.0,9534.810714285715,20119.517732637934,101954.34
2018-07-12,5597.371069399001,11979.621952698604,8019.496077915239,0.0,28501.97072864321,19039.34696816938,0.0,0.0,0.0,9644.241071428572,20252.914768048307,103034.96
2018-07-13,5595.46102979163,11961.10988477865,8063.379132666488,0.0,28672.99032663316,19023.61630419127,0.0,0.0,0.0,9665.242857142857,20301.586659346693,103283.39
2018-07-16,5550.575099018425,11926.399757428742,7968.739773624635,0.0,28548.612437185926,18971.180757597576,0.0,0.0,0.0,9600.026785714286,20343.047900082347,102908.58
2018-07-17,5624.111623902186,11926.399757428742,7942.30419847328,0.0,28659.386494974868,19112.756733400547,0.0,0.0,0.0,9654.189285714287,20364.679851770517,103283.83
2018-07-18,5626.021663509556,11894.003638568827,7944.4190444853875,0.0,28980.048241206026,19086.5389601037,0.0,0.0,0.0,9660.82142857143,20348.455888004388,103540.31
2018-07-19,5588.775891165834,11810.699332929045,7944.4190444853875,0.0,28968.387814070345,19022.30541552643,0.0,0.0,0.0,9607.764285714287,20306.994647268733,103249.35
2018-07-20,5567.765455484759,11771.361188599149,7916.926046327979,0.0,28933.40653266331,19020.994526861585,0.0,0.0,0.0,9587.867857142857,20216.861515234694,103015.18
2018-07-23,5538.1598415705175,11810.699332929045,7885.20335614635,0.0,28752.669912060293,19112.756733400547,0.0,0.0,0.0,9611.080357142859,20197.032226187206,102907.6
2018-07-24,5609.786326846908,11903.259672528802,7984.601118715449,0.0,28886.764824120593,19220.24960391761,0.0,0.0,0.0,9697.298214285714,20137.54435904474,103439.5
2018-07-25,5651.807198209057,11988.87798665858,8058.620729139244,0.0,29287.106155778885,19456.209563589222,0.0,0.0,0.0,9811.150000000001,20283.56003293988,104537.33
2018-07-26,5683.322851730669,11536.767007883564,8140.04230060542,0.0,29535.861934673358,19162.570502664552,0.0,0.0,0.0,9791.253571428571,20175.400274499036,104025.22
2018-07-27,5663.2674358532795,11317.815524560338,8103.0324953935215,0.0,29531.975125628138,18829.60478179461,0.0,0.0,0.0,9720.510714285714,20128.531045841337,103294.74
