,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
purchase_date,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29
weights,0.376,3.9663,1.9939,40.4963,4.9049,23.8424,19.9746,0.2608,0.0265,2.0027,2.1549
seed_money,376.0,3966.3,1993.9,40496.3,4904.9,23842.4,19974.6,260.79999999999995,26.5,2002.7,2154.9
num_shares,6.474944033063544,80.17586416009703,26.242432219005,1524.13624388408,68.46594081518704,343.40198761342356,387.7810133954572,7.973096912259247,0.5102040816326531,24.001677852348994,19.717265989569036
