Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,Daily Total
2018-06-29,2707.943271692046,9793.553165002899,2029.1110151740818,16458.446488709506,18661.044159954006,19597.934960218343,3555.1621565945634,1985.7679227401518,583.6317397151582,6423.092011070914,18204.313109128307,100000.0
2018-07-02,2693.953552706208,9866.801894961483,1996.2628110589972,16551.36206918773,18692.302190372688,19787.055173718934,3535.836872109095,1974.8404318782373,588.0140342567237,6443.10643967684,18230.964130241497,100360.5
2018-07-03,2689.2903130442623,9737.923724142462,2012.82044240156,16396.50276839069,18640.205473008216,19552.771924158496,3544.8093256202055,1985.7679227401518,589.6995321573257,6463.120868282765,18137.685556345332,99750.6
2018-07-05,2712.606511353992,9894.497833667443,2008.5475052808983,16439.863372613858,18726.165056659596,19826.5728302713,3594.5029142971243,2011.8724842436145,593.1828944852368,6529.322439825442,18230.964130241497,100568.1
2018-07-06,2725.197258441246,10050.913567560081,2021.0992580728416,16514.195836996438,18793.89078923341,20055.210700324256,3604.855745271482,2019.7645609772198,597.5651890268024,6621.696725698946,18374.213368724893,101378.6
2018-07-09,2750.8450765819493,10110.304429688662,2051.2768764875127,16904.44127500498,19137.729123838926,20210.458636779967,3588.981404444133,2001.5520762073618,579.0247121201792,6665.57451148886,18592.418604089136,102592.61
2018-07-10,2772.7623029930955,10104.167373935374,2066.4992149798686,16830.1088106224,19200.245184676292,20264.089742101034,3633.1534832680613,2011.2654014179527,584.6430384555194,6694.056582966523,18630.729446939346,102791.72
2018-07-11,2726.59623033983,10090.507475645802,2021.9004337829654,16749.58197420794,18892.874552225905,20159.650221212647,3620.7300860988316,2004.5874903356716,589.8118986840326,6640.171582873647,18590.75291526956,102087.16
2018-07-12,2733.1247658665543,10248.883107988682,2025.3721951935029,16780.55383436735,19101.261421683797,20498.372991661472,3617.279142440712,2009.444152940967,590.1489982641531,6716.380368719287,18714.013887918063,103034.83
2018-07-13,2732.1921179341657,10233.045544754394,2036.4551258502183,16700.02699795289,19215.874199885635,20481.436853139032,3639.365181852676,2003.9804075100094,590.4860978442734,6731.006297315924,18758.98748604657,103122.86
2018-07-16,2710.274891523019,10203.350113690103,2012.5533838315187,17006.648413531027,19132.51945210248,20424.983058064226,3622.110463562079,1992.445833822433,589.6995321573257,6685.588940094784,18797.29832889678,103177.47
2018-07-17,2746.181836920003,10203.350113690103,2005.8769195804853,17034.523087674497,19206.75727434685,20577.4083047662,3652.4787677535296,1979.6970944835325,589.3624325772055,6723.308440159799,18817.286594731675,103536.23
