Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,Daily Total
2018-06-29,1117.953111831345,21346.208128056627,931.1771688930972,4912.7277895777825,5063.970259984904,21173.645574130827,198.78725759665605,,3346.5524524101697,17690.564511770088,24218.413745748483,100000.0
2018-07-02,1112.1775662217462,21505.862403524206,916.1028346243619,4940.462421434639,5072.452622229436,21377.97140640315,197.7066823272508,,3371.6805898079356,17745.688514323545,24253.86937937754,100493.97
2018-07-03,1110.25238435188,21224.95717830963,923.7012795403099,4894.238035006545,5058.315351821884,21124.851345528477,198.20837798804612,,3381.3452580378457,17800.812516876995,24129.774661675838,99846.46
2018-07-05,1119.8782937012113,21566.22897957262,921.7403905297425,4907.180863206411,5081.641847994344,21420.666356430203,200.98700010937387,,3401.318905712993,17983.145756092268,24253.86937937754,100856.66
2018-07-06,1125.0762847498502,21907.155582402163,927.5005019982838,4929.368568691896,5100.020299524161,21667.687138729587,201.5658797179838,,3426.4470431107593,18237.564229415904,24444.44341013373,101966.83
2018-07-09,1135.6647850341149,22036.604994943442,941.3492806354146,5045.854022490692,5193.326284213999,21835.41729955015,200.67826431811523,,3320.135692581749,18358.41300424463,24734.73641047164,102802.18
2018-07-10,1144.7131398224863,22023.228555647507,948.3349477355601,5023.666317005208,5210.291008703061,21893.360446015442,203.14815064818433,,3352.3512533481157,18436.858700186083,24785.70388381341,103021.66
2018-07-11,1125.65383931081,21993.455190763016,927.868168687765,4999.629636062598,5126.881113298508,21780.523792372514,202.4534951178524,,3381.989569253173,18288.447924080632,24732.520433369824,102559.42
2018-07-12,1128.3490939286228,22338.65362420642,929.461391008851,5008.874513348217,5183.430194928714,22146.480506890115,202.26053524831573,,3383.9225028991555,18498.34316457263,24896.502738904215,103716.28
2018-07-13,1127.9640575546498,22304.13378086208,934.5474468800095,4984.837832405608,5214.532189825327,22128.182671164235,203.4954784133503,,3385.855436545137,18538.62608951554,24956.334120653253,103778.51
2018-07-16,1118.9157027662782,22239.40907459144,923.5787239771494,5076.362117533234,5191.912557173245,22067.1898854113,202.53067906566704,,3381.3452580378457,18413.537006798084,25007.301593995024,103622.08
2018-07-17,1133.7396031642484,22239.40907459144,920.5148348981381,5084.6825070902905,5212.058167504006,22231.87040694422,204.22872591758957,,3379.412324391864,18517.424550071904,25033.893319216815,103957.23
2018-07-18,1134.1246395382216,22178.999348738846,920.7599460244589,5162.339476289489,5270.3744079351545,22201.37401406775,202.76223090911103,,3362.015921578026,18530.145473738085,25013.94952530047,103976.84
2018-07-19,1126.6164302457432,22023.660053689313,920.7599460244589,5086.531482547415,5268.253817374022,22126.657851520413,202.80082288301836,,3393.587171129065,18428.378084408632,24962.9820519587,103540.23
2018-07-20,1122.3810301320375,21950.30538658259,917.5735013822874,5097.625335290157,5261.8920456906235,22125.133031876587,203.95858210023826,,3368.4590337312993,18390.215313410084,24852.183196867896,103289.73
