,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,Daily Portfolio Return,cumulative portfolio return
2018-12-31,,,,,,,,,,,,0.0,1.0
2019-01-02,2.9126680628744644e-05,0.0006967345761934535,0.00018061748541928048,0.005110815239408737,0.00042572562813119274,0.0011887534904797908,-0.00029072278732138575,-6.0111214765711604e-05,-3.3039732982417004e-06,-0.00012799549036576996,0.00029737072221041835,0.007447010356720509,1.0074470103567206
2019-01-03,-7.793627422942189e-05,-0.0005686423470274573,-6.197866418009319e-05,-0.00836233342682508,-0.0013402567816540776,-0.010177672799176172,-0.0008144785902905985,1.7127474406669107e-05,8.305420415059569e-07,-0.0002712945022049506,-0.0004772445837709383,-0.022133879952910614,0.9851482991705662
2019-01-04,0.00011763270450028438,0.0016429567924721774,0.00025179299728323286,0.01426399478295264,0.0018303565043386754,0.009026152647912719,0.003432446967047694,2.777521723368494e-05,2.4949486586580634e-06,0.0004053846134692868,0.0007950047336050071,0.03179599290947406,1.016472067505774
2019-01-07,1.0614006242908416e-05,0.0004802041450808236,0.00010907967640116551,0.0011317519695795463,0.0003930006738818201,0.002163394278848191,-1.7929841495609275e-05,2.3920555128288347e-05,-1.2493001575621771e-06,6.916811492050474e-05,0.0005947418024468972,0.004956696080876974,1.0215104106191006
2019-01-08,2.88487178263687e-05,0.0006598157509426455,5.984025376192082e-05,-0.0002806617878654654,0.0006873117504558413,0.001693913361571295,0.0017652914720812588,4.9873326442321046e-05,2.6531771602862328e-06,0.00011534264835855191,0.00024935274704953697,0.0050315814177845615,1.0266502234192452
2019-01-09,8.998507040188297e-07,2.263173691301064e-05,0.00011003261627832928,0.0019675733165414556,0.00031351327038114815,0.0027274352694027578,-0.0017957795926641848,-1.1711966712214204e-05,-1.6095950546079268e-06,4.0638233835873685e-05,0.0001187217553429942,0.0034923448949685802,1.0302356400859218
2019-01-10,3.0458871246295817e-05,9.484679905499083e-05,2.9580118285080716e-05,0.0009311031071498692,0.0007551009101764471,0.0010195012497162244,0.001104704543231496,4.7165371740440744e-05,3.200394485442731e-06,4.1525724284789716e-05,-5.569486908197332e-05,0.004001492220289104,1.0343581199847902
2019-01-11,-1.5450745878163476e-05,-0.00021951609878850334,-4.999692238128732e-05,0.00046497684488754055,-0.00010072994377579431,-0.00037765667000359154,0.00046189496859299077,4.505029263160914e-07,-1.1753210659823431e-06,3.8186623610060824e-05,1.3351877596775706e-05,0.0002143351157203616,1.0345798192521336
2019-01-14,-2.3162261220237894e-05,-0.00010775598713739734,-7.353410439309792e-06,0.0035554490595022044,1.8686284500125664e-05,-0.0017726533893583673,-0.0007405572646281491,-3.372215275782031e-06,-4.561905596389058e-06,-0.00013524757632190902,-0.00012186368487500951,0.0006576076491497789,1.0352601668549297
