Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-06-30,1.1169,21.3261,0.9303,4.9081,5.0592,21.1537,0.1986,,3.3434,17.6739,24.1956
2018-09-30,0.9957,19.1888,0.6277,6.6531,3.821,23.2881,0.1597,,3.9832,17.7262,23.2331
2018-12-31,1.7887,20.4312,0.4398,5.6523,4.7288,21.3482,0.073,0.0029,5.141,16.7624,23.3462
2019-03-31,2.4257,19.5505,0.3611,5.4703,5.0058,21.4718,0.007,0.0026,5.0495,17.4213,22.651
2019-06-30,2.5419,18.2742,0.2457,5.7763,4.4717,23.5337,0.0933,0.0028,4.1532,20.3576,19.984
2019-09-30,3.1,18.3425,0.3728,5.2299,5.8551,23.3918,0.3496,0,4.2474,19.3709,18.7576
2019-12-31,3.2557,16.8003,0.287,5.2144,5.4045,23.2882,0.1784,0.0446,3.7152,22.1946,18.1577
2020-03-31,2.2618,17.3467,0.0656,3.6799,3.7487,25.6727,0.5359,0.0322,4.7923,23.0784,16.4641
2020-06-30,1.9639,16.0411,0.0734,4.041,3.9258,26.2071,0.4676,0.0269,3.8207,22.415,18.9012
